name,url,start_date,city,category,first_seen
Coffee with Developers LIVE,https://lu.ma/7levwbb6,2026-08-13T15:30:00.000Z,San Francisco,tech,2026-08-13
PRIVATE SUITE AT LEVI’S STADIUM: 49ers vs. Titans | Engineering Leaders & Funded Founders & Investors,https://lu.ma/0nlamytx,2026-08-14T00:00:00.000Z,San Francisco,tech,2026-08-13
Berkeley Ruby Early Birds,https://lu.ma/9u87z1ke,2026-08-15T15:00:00.000Z,San Francisco,tech,2026-08-13
Pitch Global & Kampong Collective offer a free pitching opportunity during ASIA week,https://lu.ma/m52mektl,2026-08-15T19:30:00.000Z,San Francisco,tech,2026-08-13
Foundry Robotics Happy Hour @ Actuate,https://lu.ma/vwn1337o,2026-08-19T00:00:00.000Z,San Francisco,tech,2026-08-13
PUMP POKER NIGHT,https://lu.ma/k25ybkt7,2026-08-19T02:30:00.000Z,San Francisco,tech,2026-08-13
SF CTO Lunch,https://lu.ma/8l3rgqvx,2026-08-19T20:30:00.000Z,San Francisco,tech,2026-08-13
Byteport Poker Night: Founders & Engineers,https://lu.ma/e9u9zi85,2026-08-21T01:00:00.000Z,San Francisco,tech,2026-08-13
Circuit Launch MTV Happy hour by Zuuz Ai,https://lu.ma/lfsxrrlq,2026-08-21T01:00:00.000Z,San Francisco,tech,2026-08-13
"Aussies & Kiwis in SF Tech Meet-up | Airtree, AWS, Atrium",https://lu.ma/dq317f97,2026-08-22T00:30:00.000Z,San Francisco,tech,2026-08-13
Storytelling circle on leaving tech: a gathering for marginalized folks dreaming of an escape,https://lu.ma/4nox507e,2026-08-22T21:00:00.000Z,San Francisco,tech,2026-08-13
What Nobody Tells You About Building Alone — Or Not,https://lu.ma/armf2dc0,2026-08-26T01:00:00.000Z,San Francisco,tech,2026-08-13
Circuit Launch OAK Happy Hour by Arcticar,https://lu.ma/wpmk2x8k,2026-08-26T23:00:00.000Z,San Francisco,tech,2026-08-13
Founders & Funders: SF VC Reverse Pitch,https://lu.ma/fnfxsf0826,2026-08-28T01:00:00.000Z,San Francisco,tech,2026-08-13
"Hardware Founders and Builders Dinner @ Studio 45 | Wearables, Healthtech, and Neurotech",https://lu.ma/zopccamc,2026-08-28T01:30:00.000Z,San Francisco,tech,2026-08-13
🚀 PMSC: Exploratorium Museum After Dark | Life in Space,https://lu.ma/pmsc-exploratorium,2026-08-28T02:00:00.000Z,San Francisco,tech,2026-08-13
『シリコンバレーによろしく』内藤聡 対談イベント in JIC,https://lu.ma/aispxoqn,2026-09-04T00:00:00.000Z,San Francisco,tech,2026-08-13
☀️S26 Post ADD Pioneer Happy Hour,https://lu.ma/s26add,2026-09-09T01:30:00.000Z,San Francisco,tech,2026-08-13
Bonneville Labs Monthly Social,https://lu.ma/yjjqhi3m,2026-09-10T00:00:00.000Z,San Francisco,tech,2026-08-13
Curated VC × Founder Mixer [75 Investors · VCs · Angels · FOs · CVCs] | Sept 21 · SF,https://lu.ma/mixer21sept,2026-09-22T00:30:00.000Z,San Francisco,tech,2026-08-13
Poker & games night at Maximor: NYC intern summer send-off,https://lu.ma/xm2jg8zs,2026-08-13T23:00:00.000Z,New York,tech,2026-08-13
NYC 1 Million Cups,https://lu.ma/rpmjyk61,2026-08-19T12:30:00.000Z,New York,tech,2026-08-13
"Wednesday Coworking - Founders, Builders, Creatives, Researchers, and Supporters",https://lu.ma/jsfsiv1b,2026-08-19T13:30:00.000Z,New York,tech,2026-08-13
TWIF x SEON: Fraud & Risk Leaders Dinner,https://lu.ma/seon-819,2026-08-19T22:30:00.000Z,New York,tech,2026-08-13
Open House at Fat Cat Fab Lab,https://lu.ma/3ij496ar,2026-08-19T23:00:00.000Z,New York,tech,2026-08-13
Third Thursday Tech Schmooze I August,https://lu.ma/vlsda5ai,2026-08-20T23:00:00.000Z,New York,tech,2026-08-13
Ping Friends Night,https://lu.ma/4ij3tga2,2026-08-22T21:00:00.000Z,New York,tech,2026-08-13
The Shortlist: August Founder Showcase,https://lu.ma/shortlistaugust,2026-08-24T22:00:00.000Z,New York,tech,2026-08-13
NYC Tech Poker @ SPC ($1/$1),https://lu.ma/xo2jmwea,2026-08-24T23:00:00.000Z,New York,tech,2026-08-13
Codédex Presents: Gen Z Builders Networking Nite,https://lu.ma/jhylzg7w,2026-08-25T21:00:00.000Z,New York,tech,2026-08-13
Notion Build Bar NYC,https://lu.ma/buildbar-nyc-aug,2026-08-26T18:00:00.000Z,New York,tech,2026-08-13
Arcade Happy Hour for IT Professionals,https://lu.ma/n4yhnqyt,2026-08-27T22:00:00.000Z,New York,tech,2026-08-13
Scout Screener: The Odyssey in 70MM,https://lu.ma/o6qjvef4,2026-08-27T22:00:00.000Z,New York,tech,2026-08-13
Monk <> Rubie Poker Club,https://lu.ma/09i1u7u8,2026-08-27T22:30:00.000Z,New York,tech,2026-08-13
