name,url,start_date,city,category,first_seen
Blue venture hackathon,https://lu.ma/r7pld14p,2026-08-09T21:00:00.000Z,San Francisco,tech,2026-08-08
staaake Global Dinner Club for Founders & Creators now in San Francisco,https://lu.ma/p7230rc2,2026-08-13T02:00:00.000Z,San Francisco,tech,2026-08-08
Pilates + Lattes by item,https://lu.ma/8ndxyqz7,2026-08-13T14:30:00.000Z,San Francisco,tech,2026-08-08
Deep Tech and Hardware Happy Hour | Rho,https://lu.ma/xeux4jak,2026-08-14T00:00:00.000Z,San Francisco,tech,2026-08-08
Wine & Watts with Energy Storage Builders,https://lu.ma/jyj59b9m,2026-08-15T02:30:00.000Z,San Francisco,tech,2026-08-08
"Bog-a-thon III — rust, incremental comp, & agents",https://lu.ma/5gcp8iv8,2026-08-16T20:00:00.000Z,San Francisco,tech,2026-08-08
European Founder & Operator Connect,https://lu.ma/pdknz53j,2026-08-18T00:30:00.000Z,San Francisco,tech,2026-08-08
🌐 Battery & Energy Storage Meetup - How to Build Leverage with Your Suppliers for Startups,https://lu.ma/vowcdg08,2026-08-20T00:00:00.000Z,San Francisco,tech,2026-08-08
CORGI X RAISI PITCH NIGHT @ CORGI HQ,https://lu.ma/raisi-g87x,2026-08-20T01:30:00.000Z,San Francisco,tech,2026-08-08
Cool Under Pressure: Keeping Fish & GPU Chips Cool,https://lu.ma/sdbbf606,2026-08-21T01:30:00.000Z,San Francisco,tech,2026-08-08
DCP Dinner in SF,https://lu.ma/skmpmxnv,2026-08-24T02:00:00.000Z,San Francisco,tech,2026-08-08
Pebblebed's Builders Late Night Café,https://lu.ma/2657uqcm,2026-08-25T02:30:00.000Z,San Francisco,tech,2026-08-08
Acquired Wisdom Fund - Pride Dinner w/ Marissa Mayer & Mendel Chuang,https://lu.ma/dmbcetwa,2026-09-09T01:00:00.000Z,San Francisco,tech,2026-08-08
Flushing Tech Meetup - Hackathon at TIQC,https://lu.ma/bn4dxmd9,2026-08-08T20:00:00.000Z,New York,tech,2026-08-08
After Hours: Founder Mixology Class & Dinner,https://lu.ma/4o1hsygh,2026-08-11T23:00:00.000Z,New York,tech,2026-08-08
⚡ Fractal Weekly Demo Party #4 ⚡,https://lu.ma/qq02inji,2026-08-12T22:30:00.000Z,New York,tech,2026-08-08
Founder GTM Dinner with Cluster (a16z SR006),https://lu.ma/o3xqh79x,2026-08-13T23:00:00.000Z,New York,tech,2026-08-08
People Leaders Office Hours with Croissant,https://lu.ma/ebkj6zhu,2026-08-14T13:00:00.000Z,New York,tech,2026-08-08
🚶☀️ Sprint Review #2: Walk or Run Summer Streets 🌳🏃,https://lu.ma/ijhs4ugg,2026-08-15T12:30:00.000Z,New York,tech,2026-08-08
Micro Mondays Coworking with New York Coworking Friends,https://lu.ma/36huezhi,2026-08-17T14:00:00.000Z,New York,tech,2026-08-08
Founders Friday by Neo with Joshua Cohen,https://lu.ma/b5dulclb,2026-08-21T14:00:00.000Z,New York,tech,2026-08-08
Startup Friends: Sweat & Connect at Barry's,https://lu.ma/3idyd7ug,2026-08-21T20:00:00.000Z,New York,tech,2026-08-08
Last Call of Summer in Chinatown: Breakpoint LIVE with Sentry,https://lu.ma/last-call-of-summer-in-chinatown,2026-08-27T22:00:00.000Z,New York,tech,2026-08-08
"TechWalk | NYC, 8/28",https://lu.ma/b462j94g,2026-08-28T13:00:00.000Z,New York,tech,2026-08-08
Founders Friday by Neo with Kurt Hackenberger,https://lu.ma/hnz5dlov,2026-08-28T14:00:00.000Z,New York,tech,2026-08-08
Anvara Supper Club,https://lu.ma/e255cb6g,2026-09-09T23:00:00.000Z,New York,tech,2026-08-08
"Health2Tech NYC, September 10 2026",https://lu.ma/jwerc77v,2026-09-10T21:30:00.000Z,New York,tech,2026-08-08
Columbia Climate School Global Impact Lab: Community Kickoff & Mixer,https://lu.ma/im4qf8k8,2026-09-16T19:30:00.000Z,New York,tech,2026-08-08
SEEN SUMMIT 2026,https://lu.ma/zga16eku,2026-11-05T14:30:00.000Z,New York,tech,2026-08-08
Co-Working With Noeome,https://lu.ma/npuyl2ko,2026-08-08T09:00:00.000Z,London,tech,2026-08-08
Science Works' Build Club,https://lu.ma/8ysp90or,2026-08-08T10:00:00.000Z,London,tech,2026-08-08
little computers show and tell,https://lu.ma/tldraw-vp8y,2026-08-10T16:00:00.000Z,London,tech,2026-08-08
Space Frontiers - London,https://lu.ma/rjqw3ykn,2026-08-13T16:30:00.000Z,London,tech,2026-08-08
CoLoop CoWorking #6,https://lu.ma/2vq9gv0i,2026-08-15T10:00:00.000Z,London,tech,2026-08-08
ICPC Training Session @ JetBrains London,https://lu.ma/8l23evbb,2026-08-15T10:00:00.000Z,London,tech,2026-08-08
