name,url,start_date,city,category,first_seen
Founders Inc Open Campus: Thursday,https://lu.ma/open-campus-9,2026-07-17T00:00:00.000Z,San Francisco,tech,2026-07-16
Unicorn Battle in San Francisco,https://lu.ma/ckpt1lj2,2026-07-17T00:00:00.000Z,San Francisco,tech,2026-07-16
Potluck Dinner #3,https://lu.ma/9f4fezkp,2026-07-18T01:30:00.000Z,San Francisco,tech,2026-07-16
UnCommon Thursday no. 01 | Weekly Work Session for Women & Non-Binary Founders,https://lu.ma/938ybd9v,2026-07-23T16:00:00.000Z,San Francisco,tech,2026-07-16
Office Hour with Attorney Alice Lu [SIT SV Hub Member Only],https://lu.ma/aqox4s8g,2026-07-23T20:00:00.000Z,San Francisco,tech,2026-07-16
-1 to Guardant Health with Helmy Eltoukhy,https://lu.ma/helmy-spc,2026-07-23T22:30:00.000Z,San Francisco,tech,2026-07-16
Founder Demo Exchange,https://lu.ma/ojglokpg,2026-07-24T01:00:00.000Z,San Francisco,tech,2026-07-16
Scrappy Hours @ Notion HQ SF,https://lu.ma/obo6607q,2026-07-24T01:00:00.000Z,San Francisco,tech,2026-07-16
K-Founders Connect in Silicon Valley,https://lu.ma/ufahhekd,2026-07-24T20:00:00.000Z,San Francisco,tech,2026-07-16
YC SUS Game Night @ EF,https://lu.ma/0pl3rlxm,2026-07-24T23:00:00.000Z,San Francisco,tech,2026-07-16
"Funding at the Frontier: hosted by ARIA, Bakar Labs, and IGI",https://lu.ma/nkhhuhss,2026-07-30T00:00:00.000Z,San Francisco,tech,2026-07-16
Figma Field Days: SF Dev Night,https://lu.ma/2929v81u,2026-07-30T01:00:00.000Z,San Francisco,tech,2026-07-16
Grid Innovation Hub Coffee Meetup (In-Person),https://lu.ma/grid-7emd,2026-07-30T16:00:00.000Z,San Francisco,tech,2026-07-16
July Community Meet & Eat,https://lu.ma/7wx60rjq,2026-07-30T21:00:00.000Z,San Francisco,tech,2026-07-16
BrainTech - The Next Big Opportunity - Learn from a VC,https://lu.ma/y1pdtumx,2026-07-31T18:45:00.000Z,San Francisco,tech,2026-07-16
Extraordinary Founders Dinner (hosted by Andrew Yeung),https://lu.ma/ExtraordinaryFoundersAug6,2026-08-07T01:00:00.000Z,San Francisco,tech,2026-07-16
The Agentic Payments Table,https://lu.ma/beltic,2026-08-07T01:30:00.000Z,San Francisco,tech,2026-07-16
Bedrock Data Happy Hour at Snowflake!,https://lu.ma/tc4rsia7,2026-08-13T00:00:00.000Z,San Francisco,tech,2026-07-16
Assets & Access @ Rickhouse Bar SF,https://lu.ma/sanfranciscoaugust,2026-08-13T00:30:00.000Z,San Francisco,tech,2026-07-16
San Francisco Apache DataFusion Meetup,https://lu.ma/gk3s2vib,2026-08-14T00:30:00.000Z,San Francisco,tech,2026-07-16
Day Jobs & Dream Jobs… Why Not Both? A Continusum Event.,https://lu.ma/vegdrrl8,2026-08-20T01:00:00.000Z,San Francisco,tech,2026-07-16
August - How to Rule the World by Theo Baker,https://lu.ma/0pza6p4n,2026-08-30T20:30:00.000Z,San Francisco,tech,2026-07-16
Growth Warrior Capital 2026 Annual General Meeting,https://lu.ma/nw16cjij,2026-11-05T21:00:00.000Z,San Francisco,tech,2026-07-16
House of 434 Founder–Funder Brunch,https://lu.ma/houseof-i9uz,2026-07-16T14:00:00.000Z,New York,tech,2026-07-16
The Startup Pitch: Demo Showcase by Startup Grind,https://lu.ma/z0nfsye9,2026-07-16T21:30:00.000Z,New York,tech,2026-07-16
NYC ROBOTICS SOCIETY,https://lu.ma/0d63ukh7,2026-07-17T22:30:00.000Z,New York,tech,2026-07-16
FINANCE ON OFFENSE: NYC WATCH PARTY,https://lu.ma/nycwatchparty,2026-07-19T18:00:00.000Z,New York,tech,2026-07-16
"Monday Coworking Around NYC - Greenpoint - Founders, Creatives, Builders, Researchers, Supporters",https://lu.ma/h5dz2cdv,2026-07-20T14:00:00.000Z,New York,tech,2026-07-16
Taco Tuesday @ Meow HQ,https://lu.ma/qbpujccz,2026-07-21T22:00:00.000Z,New York,tech,2026-07-16
UGLY TALK: WHY INVESTORS DON’T BET ON YOUR BRAND,https://lu.ma/db9c3wzz,2026-07-22T22:30:00.000Z,New York,tech,2026-07-16
Take the Leap: Interns in NYC,https://lu.ma/o7cnyyc6,2026-07-23T22:30:00.000Z,New York,tech,2026-07-16
NYC Founder Meetup,https://lu.ma/bki3r9pt,2026-07-23T23:00:00.000Z,New York,tech,2026-07-16
🗽 NYC Founders: In Person Meetup with Special Guest Robert Manasier,https://lu.ma/oneday-g1ty,2026-07-24T21:00:00.000Z,New York,tech,2026-07-16
Artificially Unintelligent: NYC Tech Comedy Show (July),https://lu.ma/TechComedyJuly,2026-07-30T23:00:00.000Z,New York,tech,2026-07-16
"{NEW YORK, NY} Member Mingle",https://lu.ma/f3cn39uz,2026-08-13T22:00:00.000Z,New York,tech,2026-07-16
Antimetal at Roscioli II,https://lu.ma/ki254ssb,2026-08-13T23:30:00.000Z,New York,tech,2026-07-16
Cleantech Leaders: New York Climate Week Reception,https://lu.ma/dt8oz6ky,2026-09-22T15:00:00.000Z,New York,tech,2026-07-16
2026 Urban Future Summit: 10 Years of Impact,https://lu.ma/jp2d19qc,2026-10-22T17:00:00.000Z,New York,tech,2026-07-16
Junior VC Summer Drinks,https://lu.ma/i4v7iskv,2026-07-16T17:30:00.000Z,London,tech,2026-07-16
Science Works' Build Club,https://lu.ma/s8tbzarp,2026-07-18T10:00:00.000Z,London,tech,2026-07-16
UK Racket meet-up (London) Tuesday 21 July 2026,https://lu.ma/u61y94uw,2026-07-21T18:30:00.000Z,London,tech,2026-07-16
🚀 🚀 You're Invited to the Official Launch of CipherX's Painless Tattoo Technology,https://lu.ma/wjhooz6s,2026-07-23T17:00:00.000Z,London,tech,2026-07-16
London Coworking Meetup + Launch 🇬🇧,https://lu.ma/v15tcy2y,2026-07-24T13:00:00.000Z,London,tech,2026-07-16
Entrepreneurial Wellbeing Summit,https://lu.ma/kanoh6z3,2026-07-24T16:00:00.000Z,London,tech,2026-07-16
BUILD MONDAYS,https://lu.ma/aw9ear8o,2026-07-27T08:00:00.000Z,London,tech,2026-07-16
Logos Circle London - 1 Year Anniversary,https://lu.ma/logos-london-circle-12,2026-07-27T17:00:00.000Z,London,tech,2026-07-16
The Presence Equation: Elevate Your Voice. Expand Your Influence.,https://lu.ma/dupmjyit,2026-08-01T13:00:00.000Z,London,tech,2026-07-16
Durable Code Meetup - London,https://lu.ma/sh4j0dge,2026-08-04T17:00:00.000Z,London,tech,2026-07-16
Founders Meetup London - September 2026,https://lu.ma/0a5yynw5,2026-09-08T16:30:00.000Z,London,tech,2026-07-16
DEEP TECH LONDON SUMMIT,https://lu.ma/deeptechldn26,2026-10-08T09:30:00.000Z,London,tech,2026-07-16
CIC Berlin Experience Tour,https://lu.ma/0e3jlbwd,2026-07-23T07:00:00.000Z,Berlin,tech,2026-07-16
Leadershift Tribe: Family Get-together for the club ✦ Berlin Chapter,https://lu.ma/vqh6w2ya,2026-07-23T15:00:00.000Z,Berlin,tech,2026-07-16
Exklusives Founder Dinner,https://lu.ma/3jxb1ycf,2026-07-23T17:00:00.000Z,Berlin,tech,2026-07-16
Tempelhofer Feld Walk: I Want Out Of Tech,https://lu.ma/ewcqiyu0,2026-08-19T16:30:00.000Z,Berlin,tech,2026-07-16
Dragon Sphere Origins: Cyber Security Conference 🐉 Evento Presencial,https://lu.ma/ac77b4d8,2026-07-25T14:30:00.000Z,Lima,tech,2026-07-16
VI CNR UNI,https://lu.ma/lg90rvqq,2026-11-27T16:00:00.000Z,Lima,tech,2026-07-16
STATION Austin Membership Tour,https://lu.ma/ijm19lbl,2026-07-16T15:00:00.000Z,Austin,tech,2026-07-16
Pitch And Walk x Pitchspark,https://lu.ma/z7lc3frb,2026-07-24T13:00:00.000Z,Austin,tech,2026-07-16
AWSE Lightning Talks,https://lu.ma/bcxgo29x,2026-07-27T22:30:00.000Z,Austin,tech,2026-07-16
Build With Pride at Antler,https://lu.ma/antlerus-qfco,2026-08-20T14:30:00.000Z,Austin,tech,2026-07-16
AI Innovation Studio 课程发布会,https://lu.ma/9e92trj9,2026-07-15T16:00:00.000Z,San Francisco,ai,2026-07-16
Build From the Dock: How Open Source Built the AI Revolution,https://lu.ma/uor5i8hg,2026-07-17T00:00:00.000Z,San Francisco,ai,2026-07-16
SF Personal AI Meetup,https://lu.ma/personai,2026-07-17T01:30:00.000Z,San Francisco,ai,2026-07-16
Agent-Native Founders Open Mic @ Stanford,https://lu.ma/ij64ljm3,2026-07-18T00:00:00.000Z,San Francisco,ai,2026-07-16
「AI Founder Salon #001」AI 下半场：落地真实商业,https://lu.ma/qoq4r92w,2026-07-18T22:00:00.000Z,San Francisco,ai,2026-07-16
Ha7ch | AI-Native Builder Meetup @ Palo Alto,https://lu.ma/j62cmxao,2026-07-18T22:00:00.000Z,San Francisco,ai,2026-07-16
Data in the AI Era: A Bay Area Roundtable for Designers and UX Researchers,https://lu.ma/9ay1k9wc,2026-07-21T02:00:00.000Z,San Francisco,ai,2026-07-16
"AI Creators Meetup: Build, Experiment & Get Featured",https://lu.ma/hw66kom7,2026-07-21T20:00:00.000Z,San Francisco,ai,2026-07-16
"Darren Aronofsky, Noam Brown & Elad Gil on the Future of Film",https://lu.ma/t7al2zsn,2026-07-22T01:30:00.000Z,San Francisco,ai,2026-07-16
Stop AI/Laborfest: AI in Education,https://lu.ma/d1c2hvra,2026-07-22T02:00:00.000Z,San Francisco,ai,2026-07-16
Designing What's Next: Founding AI Designers in SF,https://lu.ma/klj4miwd,2026-07-23T00:00:00.000Z,San Francisco,ai,2026-07-16
