name,url,start_date,city,category,first_seen
Bharat ka Independence Day 🇮🇳,https://lu.ma/xotv3nal,2026-08-15T19:00:00.000Z,San Francisco,tech,2026-08-14
Independence Day Founders Networking Night,https://lu.ma/90qdhhnm,2026-08-16T00:00:00.000Z,San Francisco,tech,2026-08-14
consumer founder michelin dinner @photon,https://lu.ma/q252ni0c,2026-08-19T02:00:00.000Z,San Francisco,tech,2026-08-14
JPMorgan Innovation Economy Connect @ Park Padel,https://lu.ma/su2qco99,2026-08-19T23:45:00.000Z,San Francisco,tech,2026-08-14
CISO Strategy Salon - Palo Alto,https://lu.ma/9umiqfio,2026-08-20T00:30:00.000Z,San Francisco,tech,2026-08-14
Small Teams. Big Expectations. A Dinner for Modern People Leaders,https://lu.ma/ckdk46zt,2026-08-20T00:30:00.000Z,San Francisco,tech,2026-08-14
Operators to Creators: Content Creation as a Side Hustle,https://lu.ma/2ifeajzz,2026-08-20T01:00:00.000Z,San Francisco,tech,2026-08-14
VC x Founder Connect,https://lu.ma/asan-vcfmixer-0826,2026-08-22T01:00:00.000Z,San Francisco,tech,2026-08-14
San Francisco n8n Community Meetup with n8n Founder & CEO Jan Oberhauser,https://lu.ma/n8n-9sxo,2026-08-26T01:00:00.000Z,San Francisco,tech,2026-08-14
Dogfooding Fest,https://lu.ma/r6o4ltx2,2026-08-26T22:00:00.000Z,San Francisco,tech,2026-08-14
Longevity Signals: Can We Detect Cancer Earlier?,https://lu.ma/mito-lucence,2026-08-27T01:00:00.000Z,San Francisco,tech,2026-08-14
Founder Comedy Night,https://lu.ma/rfhhj6vv,2026-08-28T02:00:00.000Z,San Francisco,tech,2026-08-14
Advancements in PatientDerived Organoids,https://lu.ma/li015ca7,2026-08-28T19:00:00.000Z,San Francisco,tech,2026-08-14
GGDS 全球绿色发展联盟 Power Club 高端研讨会,https://lu.ma/1jkw7fg8,2026-08-29T17:30:00.000Z,San Francisco,tech,2026-08-14
An Insider's Look at Accelerator Science at SLAC,https://lu.ma/jc7a5n3n,2026-09-09T01:00:00.000Z,San Francisco,tech,2026-08-14
The First Toast to Dreamforce,https://lu.ma/f7e3ntk2,2026-09-15T00:00:00.000Z,San Francisco,tech,2026-08-14
Grazitti After Hours at Dreamforce 2026,https://lu.ma/iw1s2arm,2026-09-16T00:00:00.000Z,San Francisco,tech,2026-08-14
VCs & Friends Peninsula Happy Hour - Fieldwork - Hosted by Linea and Sponsored by Mercury,https://lu.ma/bfpwifji,2026-09-18T23:00:00.000Z,San Francisco,tech,2026-08-14
Apache Iceberg™ Meetup Bay Area,https://lu.ma/sl6gb2wo,2026-09-24T00:00:00.000Z,San Francisco,tech,2026-08-14
"Private Angel Investor Event, Hosted by Entrepreneurs First",https://lu.ma/wk15x3de,2026-09-25T01:00:00.000Z,San Francisco,tech,2026-08-14
Green Growth: From Seed to Scale,https://lu.ma/berkeley-sl5u,2026-10-02T00:30:00.000Z,San Francisco,tech,2026-08-14
Founder DJ Party,https://lu.ma/41welqxd,2026-10-03T02:00:00.000Z,San Francisco,tech,2026-08-14
SF Founder & Investor Dinner,https://lu.ma/ozrtk4ne,2026-10-06T02:00:00.000Z,San Francisco,tech,2026-08-14
Founder & VC Dinner,https://lu.ma/5s02bosr,2026-10-16T02:00:00.000Z,San Francisco,tech,2026-08-14
Humanmade Hardware Accelerator Demo Day,https://lu.ma/yoytbej3,2026-11-13T01:00:00.000Z,San Francisco,tech,2026-08-14
Coffee & Cowork for Consumer Founders,https://lu.ma/ux62kyjx,2026-08-19T14:00:00.000Z,New York,tech,2026-08-14
⚡ Fractal Weekly Demo Party #5 ⚡,https://lu.ma/9eirex4d,2026-08-19T22:30:00.000Z,New York,tech,2026-08-14
Thiel Fellows x GTM coffee,https://lu.ma/lia3sqkd,2026-08-20T12:30:00.000Z,New York,tech,2026-08-14
Local-First Meetup NY,https://lu.ma/l6faqlnd,2026-08-25T23:00:00.000Z,New York,tech,2026-08-14
BDev Brew & Build NYC - Presented by Justworks,https://lu.ma/yfuou83t,2026-08-26T13:00:00.000Z,New York,tech,2026-08-14
🏵️ Folk Computer August Open House,https://lu.ma/91fmi1b2,2026-08-26T22:00:00.000Z,New York,tech,2026-08-14
NYC PAAH Social: Where PAs & Future PAs Connect,https://lu.ma/c9og7xeq,2026-08-26T22:00:00.000Z,New York,tech,2026-08-14
SUMMER TECH MIXER,https://lu.ma/ep8w6owo,2026-08-26T22:00:00.000Z,New York,tech,2026-08-14
NEW INC Y13 CAMP Day 1,https://lu.ma/08lvhgxr,2026-09-02T14:00:00.000Z,New York,tech,2026-08-14
Tribeca Club Brunch,https://lu.ma/w99ofcw0,2026-09-10T13:30:00.000Z,New York,tech,2026-08-14
Software Founder Omakase w/ Roo Capital,https://lu.ma/n0jczu4g,2026-09-10T22:00:00.000Z,New York,tech,2026-08-14
"The VC playbook for 2027: Fundraising, deal sourcing, due diligence, operations, growing your AUM",https://lu.ma/7jlgp30y,2026-09-14T21:30:00.000Z,New York,tech,2026-08-14
The Vanderbilt Problem (UBS Rooftop Panel),https://lu.ma/vanderbilt,2026-09-15T22:30:00.000Z,New York,tech,2026-08-14
Harmonic Housewarming,https://lu.ma/vc2r5k6d,2026-09-17T22:00:00.000Z,New York,tech,2026-08-14
Climate Week NYC | PCF Studio Sessions: Climatiq x ecoinvent (10:00),https://lu.ma/ynmjnrnj,2026-09-22T14:00:00.000Z,New York,tech,2026-08-14
Super South: Climate Week NYC 2026 | Rivian Space,https://lu.ma/42mwof5g,2026-09-22T16:00:00.000Z,New York,tech,2026-08-14
Climate Week NYC | PCF Studio Sessions: Climatiq x ecoinvent (14:00),https://lu.ma/u8di6eym,2026-09-22T18:00:00.000Z,New York,tech,2026-08-14
"Pitch Day - September 25, 2026",https://lu.ma/o7lur0ks,2026-09-25T19:30:00.000Z,New York,tech,2026-08-14
Startup Pitch & Networking in NYC Manhattan,https://lu.ma/veu074ck,2026-09-30T22:00:00.000Z,New York,tech,2026-08-14
