name,url,start_date,city,category,first_seen
Plate Tale Club#2: Fine Dining for Founders,https://lu.ma/b6h0dp1c,2026-08-03T01:00:00.000Z,San Francisco,tech,2026-08-02
Founders Inc: Open Campus Tuesday,https://lu.ma/open-campus-15,2026-08-05T00:00:00.000Z,San Francisco,tech,2026-08-02
Builders who Run SF — 5K,https://lu.ma/qvgjgdrh,2026-08-08T16:00:00.000Z,San Francisco,tech,2026-08-02
Stochastic Labs presents: Lance Weiler + The Dead Internet Museum,https://lu.ma/lance,2026-08-09T02:00:00.000Z,San Francisco,tech,2026-08-02
Product's Done. Where's Revenue? (Direct GTM Hands-on Workshop for 0-1 Founders),https://lu.ma/rj42jssd,2026-08-14T00:00:00.000Z,San Francisco,tech,2026-08-02
SF Founders Brew Mixer,https://lu.ma/ap566b1m,2026-08-26T01:30:00.000Z,San Francisco,tech,2026-08-02
PyLadies San Francisco Sponsored by Apify,https://lu.ma/ma8lkaim,2026-08-28T01:00:00.000Z,San Francisco,tech,2026-08-02
Monday Founders Coworking Pod,https://lu.ma/9oonk2n8,2026-08-03T14:00:00.000Z,New York,tech,2026-08-02
VIP Networking - Aspiring Leaders,https://lu.ma/j2qylssl,2026-08-04T22:30:00.000Z,New York,tech,2026-08-02
The Phoenix Club - Coffee Club: Realities of Entrepreneurship,https://lu.ma/one-m4qv,2026-08-09T14:00:00.000Z,New York,tech,2026-08-02
NYC Women in Tech: Cafe Meetup,https://lu.ma/tm8mlggf,2026-08-13T22:00:00.000Z,New York,tech,2026-08-02
Your Personal Brand Is Your Unfair Advantage,https://lu.ma/0vtx1ib8,2026-08-18T13:00:00.000Z,New York,tech,2026-08-02
Build It: Operations That Actually Work for Humans,https://lu.ma/qe2i5x6m,2026-08-18T22:00:00.000Z,New York,tech,2026-08-02
Underwriting Above the Hudson: An Oyster Social for Leaders in Lending & Fintech,https://lu.ma/baselayer-2bsg,2026-08-19T22:00:00.000Z,New York,tech,2026-08-02
HERA - Women Networking Event,https://lu.ma/d3o43x7z,2026-08-26T22:30:00.000Z,New York,tech,2026-08-02
Founders Live New York City,https://lu.ma/founderslive-new-york-city-2026-09,2026-09-10T22:00:00.000Z,New York,tech,2026-08-02
Startup Lab: Where's The Patient / Customer (WTP) Workshop,https://lu.ma/fy8dou5b,2026-08-13T11:30:00.000Z,London,tech,2026-08-02
"Founders, Entrepreneurs, Investors & Professionals | Rooftop Edition",https://lu.ma/ntl-c1lr,2026-08-18T17:30:00.000Z,London,tech,2026-08-02
Disrupt.com x AWS: Builder's Meetup | London Edition,https://lu.ma/aq4j8jb4,2026-09-30T17:30:00.000Z,London,tech,2026-08-02
Community Coworking,https://lu.ma/yu6y4f4y,2026-08-03T15:00:00.000Z,Austin,tech,2026-08-02
Art Gallery for Agents (Portal x3),https://lu.ma/artgallery3,2026-08-07T00:30:00.000Z,San Francisco,ai,2026-08-02
Compute Connect SF Meetup,https://lu.ma/ujrtum42,2026-08-07T01:30:00.000Z,San Francisco,ai,2026-08-02
Second Brain AI Salon #02 — Building the AI Second Brain and LingCode,https://lu.ma/2i7oyugg,2026-08-07T23:00:00.000Z,San Francisco,ai,2026-08-02
"A Community Reading: The Pope’s AI Encyclical, Large Language Mojitos, and Being Human Together",https://lu.ma/xazyodnw,2026-08-10T00:00:00.000Z,San Francisco,ai,2026-08-02
AI x Hardware Engineering Dinner,https://lu.ma/po9dl5ao,2026-08-12T00:30:00.000Z,San Francisco,ai,2026-08-02
AI Tech & Startup Night — San Francisco,https://lu.ma/70x9c2te,2026-08-12T01:00:00.000Z,San Francisco,ai,2026-08-02
AI 101 Series: Your AI Brain Has a Scope Problem,https://lu.ma/vyh7i1ct,2026-08-20T01:00:00.000Z,San Francisco,ai,2026-08-02
Informationbanker Fintech & AI networking walk,https://lu.ma/s7jlwrlu,2026-08-02T19:00:00.000Z,New York,ai,2026-08-02
Claude Cafe with AI Snack Club - New York City,https://lu.ma/aisnack-h9tz,2026-10-06T13:30:00.000Z,New York,ai,2026-08-02
"Rooftop Edition | AI, Startups & Networking Night",https://lu.ma/ntl-howq,2026-08-18T17:30:00.000Z,London,ai,2026-08-02
"Building AI Applications at Scale ft. ClickHouse®, Grafana, and dltHub",https://lu.ma/oretqk1d,2026-09-08T16:00:00.000Z,Berlin,ai,2026-08-02
Clay in Austin: How Clay Enables AI Use Cases in GTM,https://lu.ma/vh1rnq6w,2026-08-20T23:00:00.000Z,Austin,ai,2026-08-02
