name,url,start_date,city,category,first_seen
3Cs Dinner,https://lu.ma/jq933tuo,2026-08-11T01:30:00.000Z,San Francisco,tech,2026-08-10
People Before Ideas: Afore Open 🥒🎾🏓,https://lu.ma/6v28u9rm,2026-08-13T00:00:00.000Z,San Francisco,tech,2026-08-10
YC Founders Summer Mixer,https://lu.ma/YC_Founders_Mixer,2026-08-18T00:30:00.000Z,San Francisco,tech,2026-08-10
"TechWalk | Silicon Valley, 8/19",https://lu.ma/788n1sp5,2026-08-20T01:00:00.000Z,San Francisco,tech,2026-08-10
FutureForge Hacks,https://lu.ma/m4efz4ib,2026-11-21T16:00:00.000Z,San Francisco,tech,2026-08-10
Mango Hacks,https://lu.ma/j95l4cwz,2026-12-05T16:00:00.000Z,San Francisco,tech,2026-08-10
The Builders’ Table: Cowork & Connect,https://lu.ma/913i5rp8,2026-08-11T18:00:00.000Z,New York,tech,2026-08-10
imessage party at corgi cafe,https://lu.ma/equc5dcn,2026-08-14T23:00:00.000Z,New York,tech,2026-08-10
The Free Software Foundation: What Freedom in Software Means to You,https://lu.ma/5tqac51t,2026-08-15T23:00:00.000Z,New York,tech,2026-08-10
WORLD’S SECOND BRAIN PONG TOURNAMENT,https://lu.ma/vh2gou7v,2026-08-17T22:00:00.000Z,New York,tech,2026-08-10
A Chief of Staff Mixer on Relationships (Thurs Aug 20),https://lu.ma/wu9p0uky,2026-08-20T22:30:00.000Z,New York,tech,2026-08-10
ezVOLTz Private Investor Briefing - NYC,https://lu.ma/ezvoltzNYC,2026-09-14T21:30:00.000Z,New York,tech,2026-08-10
MAYFAIR NETWORKING - Peace and Love,https://lu.ma/0ifw4gcp,2026-08-10T14:00:00.000Z,London,tech,2026-08-10
Dev Grind,https://lu.ma/2r4llwij,2026-08-21T08:00:00.000Z,London,tech,2026-08-10
HackWimbledon August 2026 #2,https://lu.ma/3pxwr04s,2026-08-23T11:00:00.000Z,London,tech,2026-08-10
Angels Den Investor Townhall: Finding Opportunity in the Funding Gap,https://lu.ma/2vzesfnz,2026-08-26T11:00:00.000Z,London,tech,2026-08-10
Tech & Tonic | Summer Drinks,https://lu.ma/novabook-l7ge,2026-08-26T17:00:00.000Z,London,tech,2026-08-10
EF x FoundHers: Audacity Lab,https://lu.ma/cwe3bkz3,2026-08-26T17:30:00.000Z,London,tech,2026-08-10
