name,url,start_date,city,category,first_seen
YC Startup School Cowork at European Startup Embassy,https://lu.ma/nise2plo,2026-07-27T15:00:00.000Z,San Francisco,tech,2026-07-27
Monday Founders Hike | Post - YC SUS,https://lu.ma/6rtpmei7,2026-07-27T19:00:00.000Z,San Francisco,tech,2026-07-27
MANSION 27 AFTER SCHOOL,https://lu.ma/3hj8tfuh,2026-07-28T01:00:00.000Z,San Francisco,tech,2026-07-27
SF 2026 | Founders Camp — Day 2,https://lu.ma/rtc-camp-sf26day2,2026-07-28T17:00:00.000Z,San Francisco,tech,2026-07-27
"Preseed Happy Hour with Charles, Slash & Active Capital",https://lu.ma/j079jkoh,2026-07-30T01:00:00.000Z,San Francisco,tech,2026-07-27
SF Make-a-thon,https://lu.ma/b0l7tzxd,2026-07-31T01:00:00.000Z,San Francisco,tech,2026-07-27
Prosocial Media ideaspace,https://lu.ma/7lpiaf3y,2026-08-02T21:00:00.000Z,San Francisco,tech,2026-07-27
Print Club Art Swap,https://lu.ma/luerexmj,2026-08-08T19:00:00.000Z,San Francisco,tech,2026-07-27
Demo Night @ WorkOS (October),https://lu.ma/demo-night-oct2026,2026-10-20T00:30:00.000Z,San Francisco,tech,2026-07-27
Demo Night @ WorkOS (December),https://lu.ma/demo-night-dec2026,2026-12-08T01:30:00.000Z,San Francisco,tech,2026-07-27
Founder Jetskis | Manhattan Lap,https://lu.ma/b496scvv,2026-07-29T22:00:00.000Z,New York,tech,2026-07-27
Fashion x Design Meetup,https://lu.ma/vjwfeift,2026-08-02T15:00:00.000Z,New York,tech,2026-07-27
Founders & Investors: Mocktails & Legal AMA,https://lu.ma/ishaans-jrbb,2026-08-12T23:00:00.000Z,New York,tech,2026-07-27
poker night (pt. 2),https://lu.ma/1ozehnv8,2026-08-13T23:00:00.000Z,New York,tech,2026-07-27
Soho Loft Brazilian Lunch: Investor & Founder Series - August 16th,https://lu.ma/thebuilderseriesbrasil,2026-08-16T17:30:00.000Z,New York,tech,2026-07-27
game night.,https://lu.ma/e3b59t0u,2026-08-20T23:00:00.000Z,New York,tech,2026-07-27
build night,https://lu.ma/l6w1jktu,2026-07-30T17:15:00.000Z,London,tech,2026-07-27
Tools for Live-coding Visuals,https://lu.ma/1qraybxe,2026-08-22T10:00:00.000Z,London,tech,2026-07-27
"Impact by Innovation | Breakfast for Climate, Health & Bio Founders",https://lu.ma/za2tsow9,2026-08-25T07:00:00.000Z,London,tech,2026-07-27
London Startups Operator RunClub & Social,https://lu.ma/6p0g1gxp,2026-09-01T18:00:00.000Z,London,tech,2026-07-27
Open Coworking Day 🌿,https://lu.ma/zkoeqn4n,2026-07-28T07:30:00.000Z,Berlin,tech,2026-07-27
BreakfastInMotion,https://lu.ma/lgk4qhfq,2026-07-29T08:00:00.000Z,Berlin,tech,2026-07-27
