name,url,start_date,city,category,first_seen
"StartOut HikeOut @ Lands End Trail, SF",https://lu.ma/idbe7ycb,2026-08-29T16:30:00.000Z,San Francisco,tech,2026-08-29
Neurotech Follow Up,https://lu.ma/nq6yhrk9,2026-08-29T19:00:00.000Z,San Francisco,tech,2026-08-29
SF Formal Math with Lean,https://lu.ma/cqeoqbpu,2026-09-01T02:00:00.000Z,San Francisco,tech,2026-08-29
Silly Robots Contest,https://lu.ma/sillybot,2026-09-11T01:00:00.000Z,San Francisco,tech,2026-08-29
The Meridian Open,https://lu.ma/kb2u75jm,2026-09-11T20:00:00.000Z,San Francisco,tech,2026-08-29
Jacobs Makerspace Fall 2026 Open House,https://lu.ma/xer5c03d,2026-09-15T19:00:00.000Z,San Francisco,tech,2026-08-29
Biotech @Berkeley - Intro to Networking Workshop,https://lu.ma/rtvxlfd0,2026-09-16T19:00:00.000Z,San Francisco,tech,2026-08-29
SF Fintech Coffee,https://lu.ma/hz11zhyg,2026-09-17T15:30:00.000Z,San Francisco,tech,2026-08-29
Byteport Poker Night: Founders & Engineers,https://lu.ma/i4nkgal5,2026-09-19T01:30:00.000Z,San Francisco,tech,2026-08-29
Building a Career in Taiwan,https://lu.ma/g016t68g,2026-09-24T00:30:00.000Z,San Francisco,tech,2026-08-29
Private Founder × Investor Mixer,https://lu.ma/9x8owdoa,2026-09-30T01:00:00.000Z,San Francisco,tech,2026-08-29
Fincantieri Maritime Dual-Use Hackathon | Build the Software-Defined Vessel,https://lu.ma/mvcg9eyw,2026-10-16T23:30:00.000Z,San Francisco,tech,2026-08-29
rednote creator mixer by Anwar Events,https://lu.ma/ba0mfvxm,2026-08-30T22:00:00.000Z,New York,tech,2026-08-29
Turkish American Tech Summit,https://lu.ma/kjeqjfn2,2026-09-05T13:00:00.000Z,New York,tech,2026-08-29
NEXT100 Exclusive Tech Event,https://lu.ma/1gqxpcuh,2026-09-16T22:00:00.000Z,New York,tech,2026-08-29
Global Minds for India,https://lu.ma/6etg5xxw,2026-09-23T17:30:00.000Z,New York,tech,2026-08-29
Networking Walk ✦ Ridgewood ✦ Hunt & Orchard,https://lu.ma/bizbestie-walk-networking-ridgewood-sep-30,2026-09-30T15:00:00.000Z,New York,tech,2026-08-29
Quantified Self Show&Tell and Book Launch,https://lu.ma/y90ai111,2026-10-13T22:30:00.000Z,New York,tech,2026-08-29
"Founder Growth Rooms, The Grand Finale",https://lu.ma/xdvtzwl6,2026-09-18T16:30:00.000Z,London,tech,2026-08-29
growth hacking workshop + build evening for sidepreneurs,https://lu.ma/1nqnoepv,2026-09-24T17:00:00.000Z,London,tech,2026-08-29
OpenCoffee Club Austin - Downtown,https://lu.ma/7aymjbc6,2026-09-03T13:30:00.000Z,Austin,tech,2026-08-29
