name,url,start_date,city,category,first_seen
Rust Meetup,https://lu.ma/eecg6o8p,2026-07-24T02:00:00.000Z,San Francisco,tech,2026-07-23
YC Application Review Night,https://lu.ma/mhqxh6z0,2026-07-25T01:00:00.000Z,San Francisco,tech,2026-07-23
JacHacks Pre-Hackathon Party,https://lu.ma/1atub69i,2026-07-25T02:00:00.000Z,San Francisco,tech,2026-07-23
Nowadays Presents: YC Startup School Afterparty,https://lu.ma/g560wlbu,2026-07-26T01:00:00.000Z,San Francisco,tech,2026-07-23
YC Startup School | Day 2 Run,https://lu.ma/ycschool-run-722,2026-07-26T14:00:00.000Z,San Francisco,tech,2026-07-23
WeAreDevelopers Community Hike,https://lu.ma/y41x3x7x,2026-07-26T19:00:00.000Z,San Francisco,tech,2026-07-23
YC Reject Camp Showcase | Presented by Paradigm,https://lu.ma/x9fo4o39,2026-07-27T02:00:00.000Z,San Francisco,tech,2026-07-23
scrappy sessions,https://lu.ma/7lhjec3b,2026-07-29T00:30:00.000Z,San Francisco,tech,2026-07-23
Future Visuals Bay Area Open Lab,https://lu.ma/r766w8ir,2026-07-29T01:00:00.000Z,San Francisco,tech,2026-07-23
after hours: a happy hour for san francisco's creatives and founders,https://lu.ma/ntcqcq2v,2026-07-30T00:30:00.000Z,San Francisco,tech,2026-07-23
YC S26 Laser Tag,https://lu.ma/j1x0xf7t,2026-07-31T02:15:00.000Z,San Francisco,tech,2026-07-23
2nd Linux Kernel and eBPF Meetup,https://lu.ma/ic6639ja,2026-08-01T02:00:00.000Z,San Francisco,tech,2026-07-23
"3rd Health Alliance - Intro, Network, Partner, Innovate",https://lu.ma/mcsz83vh,2026-08-03T17:30:00.000Z,San Francisco,tech,2026-07-23
CMU T & E South Bay Summer Happy Hour,https://lu.ma/6bdty9mo,2026-08-07T01:00:00.000Z,San Francisco,tech,2026-07-23
GTM strategy dinner with Monaco,https://lu.ma/monaco-closedwon3,2026-08-07T01:30:00.000Z,San Francisco,tech,2026-07-23
Robots & Sake,https://lu.ma/5spumz2h,2026-08-12T00:00:00.000Z,San Francisco,tech,2026-07-23
How to get press without a PR agency,https://lu.ma/jxgyqzt7,2026-08-13T00:30:00.000Z,San Francisco,tech,2026-07-23
Leaders Lab,https://lu.ma/tciabkrh,2026-08-14T01:00:00.000Z,San Francisco,tech,2026-07-23
GLITCHED - Women in Game Dev Meetup - Inspired Design and Informed Marketing,https://lu.ma/yc002d5k,2026-08-20T01:00:00.000Z,San Francisco,tech,2026-07-23
Inspiring Founders Meetup,https://lu.ma/radi8-r71l,2026-08-20T21:00:00.000Z,San Francisco,tech,2026-07-23
🔗 Founder Peer Group Meetup - The Scaling Paradox,https://lu.ma/wr7xewwo,2026-08-27T00:00:00.000Z,San Francisco,tech,2026-07-23
NYC Founders: Paint & Sip,https://lu.ma/xp791k3o,2026-07-24T23:00:00.000Z,New York,tech,2026-07-23
Coffee Chats with Inngest,https://lu.ma/inngest-ugl5,2026-07-29T12:00:00.000Z,New York,tech,2026-07-23
"Wednesday Coworking - Founders, Builders, Creatives, Researchers, and Supporters",https://lu.ma/6d8kbygu,2026-07-29T13:30:00.000Z,New York,tech,2026-07-23
Solo Founders: Find Your People and Build What's Next,https://lu.ma/1as1q456,2026-07-30T22:00:00.000Z,New York,tech,2026-07-23
Queer People Doing Cool Shit on the Internet,https://lu.ma/3b31e86r,2026-07-30T22:30:00.000Z,New York,tech,2026-07-23
Founders Friday by Neo,https://lu.ma/eraudq1p,2026-07-31T14:00:00.000Z,New York,tech,2026-07-23
