name,url,start_date,city,category,first_seen
Saturday Volunteer Day at Rancho San Gregorio,https://lu.ma/nqydi1h0,2026-07-25T17:00:00.000Z,San Francisco,tech,2026-07-24
Punk Software Hack Night: Take the Plunge,https://lu.ma/imbue-6sbg,2026-07-25T20:00:00.000Z,San Francisco,tech,2026-07-24
YC x LemonLime – Calling All Crazy Builders Afterparty,https://lu.ma/lvtktjm7,2026-07-26T01:00:00.000Z,San Francisco,tech,2026-07-24
Duke Sunset Pregame - YC Startup School,https://lu.ma/wpqj3pvm,2026-07-27T02:00:00.000Z,San Francisco,tech,2026-07-24
Founder Rooftop Gala | YC Startup School Afterparty,https://lu.ma/z9teb942,2026-07-28T01:00:00.000Z,San Francisco,tech,2026-07-24
"South Bay Founders, Indies, & Builders co-working",https://lu.ma/u2gpx0r5,2026-07-28T17:00:00.000Z,San Francisco,tech,2026-07-24
Afore Founders Dinner & Boardgames @ Corgi Cafe 🎉,https://lu.ma/zbbnpkcd,2026-07-29T00:30:00.000Z,San Francisco,tech,2026-07-24
on Mercury - SF,https://lu.ma/on-mercury-sf,2026-07-29T16:00:00.000Z,San Francisco,tech,2026-07-24
Native Reading Room SF – #6,https://lu.ma/1tojomxv,2026-07-30T01:30:00.000Z,San Francisco,tech,2026-07-24
PEF Health Founders Dinner,https://lu.ma/xp4e5b36,2026-07-30T01:30:00.000Z,San Francisco,tech,2026-07-24
"The Making of an Investor - Building A Career Across Finance and Venture with Jeffrey Lonsdale, Fmr. Managing Director, Founders Fund",https://lu.ma/ni1biuhr,2026-07-30T01:30:00.000Z,San Francisco,tech,2026-07-24
South Bay Systems: July Coffee Chat,https://lu.ma/kn6j9xyj,2026-07-31T00:00:00.000Z,San Francisco,tech,2026-07-24
SF Creatives Night: Hard Launch x Osmo x a16z new media,https://lu.ma/db3xynd2,2026-07-31T01:30:00.000Z,San Francisco,tech,2026-07-24
Aureum x Pilot — The CEO's Guide to Financial Clarity w/ Katie Nowak,https://lu.ma/fb4jwlxs,2026-08-04T00:30:00.000Z,San Francisco,tech,2026-07-24
Startup Workshop for Teens,https://lu.ma/zpiw3iip,2026-08-10T16:00:00.000Z,San Francisco,tech,2026-07-24
Giants vs. Astros Airwallex Summer Suite,https://lu.ma/n4h22ooe,2026-08-11T01:00:00.000Z,San Francisco,tech,2026-07-24
PlanetScale: Porffor Alpha Launch Meetup,https://lu.ma/wzp44hd7,2026-08-12T00:30:00.000Z,San Francisco,tech,2026-07-24
Female Founders and Funders Walk,https://lu.ma/tdicqg4p,2026-08-13T21:30:00.000Z,San Francisco,tech,2026-07-24
Monaco & Judgment Labs Presents: Battle for Billboards,https://lu.ma/battleforbillboards,2026-08-14T02:00:00.000Z,San Francisco,tech,2026-07-24
VR Film & Embodied Discussion @ Gray Area,https://lu.ma/i9onaloi,2026-08-16T21:30:00.000Z,San Francisco,tech,2026-07-24
🦀 Bay Area Rust August Meetup,https://lu.ma/00f2s7q9,2026-08-20T01:00:00.000Z,San Francisco,tech,2026-07-24
San Francisco Future of Production Summit,https://lu.ma/wtsopky0,2026-08-20T01:00:00.000Z,San Francisco,tech,2026-07-24
Blue Planet Energy + CHANGE Climate Fund Happy Hour,https://lu.ma/iwy4k8d1,2026-08-21T02:00:00.000Z,San Francisco,tech,2026-07-24
STARTUPS MIX & PITCH,https://lu.ma/znhkugzf,2026-08-22T01:30:00.000Z,San Francisco,tech,2026-07-24
The Acquired Meetup,https://lu.ma/acquiredmeetup,2026-09-18T00:00:00.000Z,San Francisco,tech,2026-07-24
TikTok Shop Master Class: Learn to Monetize with AFM Agency x Dream Build Connect,https://lu.ma/2k4oy2gf,2026-07-24T22:00:00.000Z,New York,tech,2026-07-24
"Monday Coworking Around NYC - UWS - Founders, Creatives, Builders, Researchers, Supporters",https://lu.ma/bh7si3qm,2026-07-27T14:00:00.000Z,New York,tech,2026-07-24
Whop | Disputifier Rooftop Takeover,https://lu.ma/kt6vszx6,2026-07-27T16:30:00.000Z,New York,tech,2026-07-24
Crane Club: Moonlight & Rocket Metrics Mixer,https://lu.ma/fptrq0rc,2026-07-28T01:00:00.000Z,New York,tech,2026-07-24
LoFi Meetup NY (Hosted by Iroh),https://lu.ma/08byrv8l,2026-07-28T23:00:00.000Z,New York,tech,2026-07-24
Pilot Happy Hour: Tech & Early-Stage Attorneys,https://lu.ma/e625hisz,2026-07-30T21:30:00.000Z,New York,tech,2026-07-24
Intro to Laser Cutting & Engraving: Basic Use & Safety,https://lu.ma/bqx4huwr,2026-07-30T22:00:00.000Z,New York,tech,2026-07-24
NOI and Networking,https://lu.ma/ly4a9f4m,2026-07-30T22:00:00.000Z,New York,tech,2026-07-24
DATLAB NYC Event 18,https://lu.ma/gx2mab25,2026-07-31T22:00:00.000Z,New York,tech,2026-07-24
NYC Tech Basketball Run #4,https://lu.ma/4rn24tdv,2026-08-01T14:30:00.000Z,New York,tech,2026-07-24
Uplift Mentorship Summit,https://lu.ma/c8we4c2b,2026-08-04T20:00:00.000Z,New York,tech,2026-07-24
Sunset Sips: Allium × Snowflake,https://lu.ma/o4005m85,2026-08-04T21:00:00.000Z,New York,tech,2026-07-24
Workshop Wednesday: GTM Mastermind by Valli Ventures,https://lu.ma/hpmc4z57,2026-08-05T21:00:00.000Z,New York,tech,2026-07-24
Kinstead x Roo Capital: Engineer Pizza Night,https://lu.ma/emowvv2g,2026-08-06T21:30:00.000Z,New York,tech,2026-07-24
"TechWalk | NYC, 8/7",https://lu.ma/epv6jig6,2026-08-07T13:00:00.000Z,New York,tech,2026-07-24
RLOE Get Together: Women in eCommerce | NYC Edition,https://lu.ma/xdxyft6s,2026-08-11T12:30:00.000Z,New York,tech,2026-07-24
The Founder's Table,https://lu.ma/rfx27n75,2026-08-11T22:00:00.000Z,New York,tech,2026-07-24
(N)YC Alumni + Founder Friends Monthly #20 by Rho and NYC Founders Club,https://lu.ma/yi4cebz6,2026-08-12T22:30:00.000Z,New York,tech,2026-07-24
Nourish x Candid Rooftop Party!,https://lu.ma/7gaqhb0j,2026-08-13T22:00:00.000Z,New York,tech,2026-07-24
Gen Z NYC Founder & Creator Mixer,https://lu.ma/f5cverfc,2026-08-19T18:00:00.000Z,New York,tech,2026-07-24
"Founders, Investors, Creators: Happy Hour Social in West Village!",https://lu.ma/5az9zzwy,2026-08-20T22:00:00.000Z,New York,tech,2026-07-24
Founders & Investors NYC Rooftop Mixer,https://lu.ma/mixer-mongodb,2026-08-26T22:00:00.000Z,New York,tech,2026-07-24
Co-Working Fridays,https://lu.ma/1l5g2758,2026-07-24T08:00:00.000Z,London,tech,2026-07-24
Workshop #12,https://lu.ma/rsygoa91,2026-07-25T09:00:00.000Z,London,tech,2026-07-24
Indispensable Room: Founders Meet Up,https://lu.ma/ac2cc9ds,2026-07-27T17:00:00.000Z,London,tech,2026-07-24
Pre-Hack Coworking at Oneder - The Calm Before the Combat,https://lu.ma/vjwob5za,2026-07-28T09:00:00.000Z,London,tech,2026-07-24
Founder Cowork Club: Focus and Flow with Dimi & Ivey,https://lu.ma/xok7kbff,2026-07-30T08:00:00.000Z,London,tech,2026-07-24
3D Printing Hackathon: Act II,https://lu.ma/cy7wp3um,2026-07-31T17:00:00.000Z,London,tech,2026-07-24
Automate Further,https://lu.ma/5a584dfd,2026-08-18T09:30:00.000Z,London,tech,2026-07-24
The Captain’s Playbook | Tactical Human Defense,https://lu.ma/y1khcjgv,2026-09-03T16:30:00.000Z,London,tech,2026-07-24
Shipaton @ Ramen Space,https://lu.ma/ramen-cl5p,2026-09-16T17:00:00.000Z,London,tech,2026-07-24
🌸Women Founders Picnic,https://lu.ma/mzxboros,2026-07-26T10:00:00.000Z,Berlin,tech,2026-07-24
Founder Legal Bootcamp: Start Smart from Day One,https://lu.ma/1gmkixar,2026-08-19T14:00:00.000Z,Berlin,tech,2026-07-24
ENAPI BRUNCH,https://lu.ma/iao9m1f0,2026-09-02T06:00:00.000Z,Berlin,tech,2026-07-24
"Masterclass: Build the Team, Win the Game",https://lu.ma/aczp2obp,2026-09-16T14:00:00.000Z,Berlin,tech,2026-07-24
Startups & Angels Matching Night,https://lu.ma/ra78n5xs,2026-09-17T15:00:00.000Z,Berlin,tech,2026-07-24
Out in Tech Demo Night 3.0,https://lu.ma/eid3npzs,2026-08-04T23:30:00.000Z,Austin,tech,2026-07-24
AI Builder Dinner with Andrew Ng,https://lu.ma/6nkh10ic,2026-07-25T00:00:00.000Z,San Francisco,ai,2026-07-24
"AI Creators Meetup: Build, Experiment & Get Featured",https://lu.ma/qz17mbko,2026-07-27T20:00:00.000Z,San Francisco,ai,2026-07-24
Investors Summer Drinks,https://lu.ma/ag41vlaz,2026-07-28T00:30:00.000Z,San Francisco,ai,2026-07-24
Post YC SUS Tech Founder & Researcher Happy Hour at Berkeley Summit House,https://lu.ma/ka4bo75j,2026-07-28T01:00:00.000Z,San Francisco,ai,2026-07-24
Research Game Night: Belief State,https://lu.ma/wbw8lox8,2026-07-30T00:00:00.000Z,San Francisco,ai,2026-07-24
AI Safety Career Pivot Office Hours,https://lu.ma/ggkzzvmb,2026-07-30T18:00:00.000Z,San Francisco,ai,2026-07-24
The Rise of AI Field Engineers (FDEs),https://lu.ma/or8rjrri,2026-07-31T01:30:00.000Z,San Francisco,ai,2026-07-24
Architect Labs - Chips & Dip,https://lu.ma/xoox2g4l,2026-08-01T01:00:00.000Z,San Francisco,ai,2026-07-24
AI & Mobile meet-up by Software Mansion,https://lu.ma/kgddqkx2,2026-08-05T01:30:00.000Z,San Francisco,ai,2026-07-24
Wild AI SF # 1 Hidden Infrastructure of Intelligence,https://lu.ma/s9lskws9,2026-08-06T00:30:00.000Z,San Francisco,ai,2026-07-24
"Agent Builders Breakfast - Founders & Builders in SOMA, SF",https://lu.ma/yhb5b2kn,2026-08-06T15:00:00.000Z,San Francisco,ai,2026-07-24
[Invite only] Startx & Google Cloud: Future of AI Lunch,https://lu.ma/0tixphr5,2026-08-06T17:30:00.000Z,San Francisco,ai,2026-07-24
IT and SecOps Happy Hour San Francisco,https://lu.ma/ConsoleSF,2026-08-07T01:00:00.000Z,San Francisco,ai,2026-07-24
Frontier Signals #01: Infrastructure Behind Physical AI — Intelligence Beyond the Screen,https://lu.ma/ckpqzfae,2026-08-11T00:00:00.000Z,San Francisco,ai,2026-07-24
UC Berkeley Startup Showcase: AI in Operations,https://lu.ma/qyyl8ptl,2026-08-12T01:00:00.000Z,San Francisco,ai,2026-07-24
SmartStart x The DO Reception @ AI Summer School,https://lu.ma/364qpobl,2026-08-13T01:00:00.000Z,San Francisco,ai,2026-07-24
Biopharma Hack Day at AWS,https://lu.ma/pharma-hack-day-aws-builder-loft-aug13-2026,2026-08-13T16:30:00.000Z,San Francisco,ai,2026-07-24
How AI Can Revolutionize Your Business,https://lu.ma/9en93rqp,2026-08-13T19:00:00.000Z,San Francisco,ai,2026-07-24
Silicon Valley VIP Club Annual Forum 2026,https://lu.ma/7y8f4l1l,2026-08-16T16:00:00.000Z,San Francisco,ai,2026-07-24
Foundry Live Demo Night,https://lu.ma/yw5v3s62,2026-08-19T00:00:00.000Z,San Francisco,ai,2026-07-24
The Agent Harness Workshop,https://lu.ma/agent-harness-workshop,2026-08-19T00:00:00.000Z,San Francisco,ai,2026-07-24
"The Future of Work Pitch Night + Open Demos: Worktech, Robotics & Agentic AI",https://lu.ma/yktcpve0,2026-08-26T00:00:00.000Z,San Francisco,ai,2026-07-24
Agentic + AI Coding Night SF,https://lu.ma/agenticaiobsnightsf-9-1,2026-09-01T22:30:00.000Z,San Francisco,ai,2026-07-24
Data for AI,https://lu.ma/dataforai-h5ua,2026-09-17T00:30:00.000Z,San Francisco,ai,2026-07-24
Enterprise Ready Conf 2026,https://lu.ma/erc-26,2026-10-07T15:00:00.000Z,San Francisco,ai,2026-07-24
Breaking Models AI Security,https://lu.ma/yfijjifa,2026-11-01T22:30:00.000Z,San Francisco,ai,2026-07-24
Jersey City PM & AI Meetup - July,https://lu.ma/azd6o0y2,2026-07-26T14:30:00.000Z,New York,ai,2026-07-24
Forward-Deployed AI Forum,https://lu.ma/ztwl005g,2026-07-29T21:30:00.000Z,New York,ai,2026-07-24
Rooftop Happy Hour with Gradient Labs,https://lu.ma/gradient-ibs9,2026-07-29T21:30:00.000Z,New York,ai,2026-07-24
